"","PUMA00","PUMA10","ADJINC","AGEP","CIT","COW","ENG","FER","INTP","JWMNP","LANX","MAR","MIG","NWAB","NWAV","NWLA","NWLK","NWRE","OIP","PAP","RETP","SCH","SCHL","SEMP","SEX","SSIP","SSP","WAGP","WKHP","ANC1P05","ANC1P12","DECADE","DIS","ESR","FOD1P","HICOV","NATIVITY","NOP","OCCP10","OCCP12","PERNP","PINCP","POBP05","POBP12","PRIVCOV","PUBCOV","RAC1P","SCIENGP","WAOB","FENGP","PWGTP"
"135",8101,-9,1071861,28,1,1,NA,NA,0,15,2,5,3,3,5,3,3,3,0,0,0,1,21,0,1,0,0,67000,40,924,-9,NA,2,1,6005,2,1,NA,"2310","N.A.",67000,67000,6,-9,2,2,1,2,1,0,71
"136",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137",2203,-9,1071861,32,1,5,NA,NA,0,30,2,5,1,3,5,3,3,3,0,0,0,1,19,0,1,0,0,40000,40,32,-9,NA,2,1,NA,1,1,NA,"1007","N.A.",40000,40000,6,-9,1,2,1,NA,1,0,11
"138",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142",-9,11102,1041654,58,1,1,NA,NA,0,20,2,1,1,3,5,3,3,3,0,0,0,1,20,0,2,0,0,45300,45,-9,22,NA,2,1,NA,1,1,NA,"N.A.","5700",45300,45300,-9,6,1,2,1,NA,1,0,38
"143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144",3301,-9,1071861,65,1,NA,NA,NA,0,NA,2,3,1,3,5,3,3,3,15200,0,0,1,13,0,1,0,0,0,NA,939,-9,NA,1,6,NA,1,1,NA,"","",0,15200,6,-9,2,1,1,NA,1,0,10
"145",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146",-9,10703,1024037,61,1,1,NA,NA,0,20,2,1,1,3,5,3,3,3,0,0,0,1,19,0,1,0,0,52000,45,-9,924,NA,2,1,NA,1,1,NA,"N.A.","7700",52000,52000,-9,5,1,2,1,NA,1,0,11
"147",8104,-9,1071861,35,4,1,NA,NA,0,12,2,1,1,3,5,3,3,3,0,0,0,1,19,0,1,0,0,17000,35,720,-9,4,2,1,NA,1,2,NA,"4020","N.A.",17000,17000,233,-9,1,2,6,NA,4,0,8
"148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149",-9,5909,1041654,22,1,NA,NA,NA,0,NA,2,5,1,2,5,2,2,3,0,0,0,3,19,0,1,0,0,0,NA,-9,939,NA,2,6,NA,1,1,NA,"","",0,0,-9,6,1,2,1,NA,1,0,26
