"DATE","tenor","rate"
1991-12-01,"GS5",6.19
1992-01-01,"GS5",6.24
1992-02-01,"GS5",6.58
1992-03-01,"GS5",6.95
1992-04-01,"GS5",6.78
1992-05-01,"GS5",6.69
1992-06-01,"GS5",6.48
1992-07-01,"GS5",5.84
1992-08-01,"GS5",5.6
1992-09-01,"GS5",5.38
1992-10-01,"GS5",5.6
1992-11-01,"GS5",6.04
1992-12-01,"GS5",6.08
1993-01-01,"GS5",5.83
1993-02-01,"GS5",5.43
1993-03-01,"GS5",5.19
1993-04-01,"GS5",5.13
1993-05-01,"GS5",5.2
1993-06-01,"GS5",5.22
1993-07-01,"GS5",5.09
1993-08-01,"GS5",5.03
1993-09-01,"GS5",4.73
1993-10-01,"GS5",4.71
1993-11-01,"GS5",5.06
1993-12-01,"GS5",5.15
1994-01-01,"GS5",5.09
1994-02-01,"GS5",5.4
1994-03-01,"GS5",5.94
1994-04-01,"GS5",6.52
1994-05-01,"GS5",6.78
1994-06-01,"GS5",6.7
1994-07-01,"GS5",6.91
1994-08-01,"GS5",6.88
1994-09-01,"GS5",7.08
1994-10-01,"GS5",7.4
1994-11-01,"GS5",7.72
1994-12-01,"GS5",7.78
1995-01-01,"GS5",7.76
1995-02-01,"GS5",7.37
1995-03-01,"GS5",7.05
1995-04-01,"GS5",6.86
1995-05-01,"GS5",6.41
1995-06-01,"GS5",5.93
1995-07-01,"GS5",6.01
1995-08-01,"GS5",6.24
1995-09-01,"GS5",6
1995-10-01,"GS5",5.86
1995-11-01,"GS5",5.69
1995-12-01,"GS5",5.51
1996-01-01,"GS5",5.36
1996-02-01,"GS5",5.38
1996-03-01,"GS5",5.97
1996-04-01,"GS5",6.3
1996-05-01,"GS5",6.48
1996-06-01,"GS5",6.69
1996-07-01,"GS5",6.64
1996-08-01,"GS5",6.39
1996-09-01,"GS5",6.6
1996-10-01,"GS5",6.27
1996-11-01,"GS5",5.97
1996-12-01,"GS5",6.07
1997-01-01,"GS5",6.33
1997-02-01,"GS5",6.2
1997-03-01,"GS5",6.54
1997-04-01,"GS5",6.76
1997-05-01,"GS5",6.57
1997-06-01,"GS5",6.38
1997-07-01,"GS5",6.12
1997-08-01,"GS5",6.16
1997-09-01,"GS5",6.11
1997-10-01,"GS5",5.93
1997-11-01,"GS5",5.8
1997-12-01,"GS5",5.77
1998-01-01,"GS5",5.42
1998-02-01,"GS5",5.49
1998-03-01,"GS5",5.61
1998-04-01,"GS5",5.61
1998-05-01,"GS5",5.63
1998-06-01,"GS5",5.52
1998-07-01,"GS5",5.46
1998-08-01,"GS5",5.27
1998-09-01,"GS5",4.62
1998-10-01,"GS5",4.18
1998-11-01,"GS5",4.54
1998-12-01,"GS5",4.45
1999-01-01,"GS5",4.6
1999-02-01,"GS5",4.91
1999-03-01,"GS5",5.14
1999-04-01,"GS5",5.08
1999-05-01,"GS5",5.44
1999-06-01,"GS5",5.81
1999-07-01,"GS5",5.68
1999-08-01,"GS5",5.84
1999-09-01,"GS5",5.8
