"DATE","GS1","GS10","GS3","GS30","GS5","UNRATE"
"2007-08-01",4.47,4.67,4.34,4.93,4.43,4.6
"2007-09-01",4.14,4.52,4.06,4.79,4.2,4.7
"2007-10-01",4.1,4.53,4.01,4.77,4.2,4.7
"2007-11-01",3.5,4.15,3.35,4.52,3.67,4.7
"2007-12-01",3.26,4.1,3.13,4.53,3.49,5
"2008-01-01",2.71,3.74,2.51,4.33,2.98,5
"2008-02-01",2.05,3.74,2.19,4.52,2.78,4.9
"2008-03-01",1.54,3.51,1.8,4.39,2.48,5.1
"2008-04-01",1.74,3.68,2.23,4.44,2.84,5
"2008-05-01",2.06,3.88,2.69,4.6,3.15,5.4
"2008-06-01",2.42,4.1,3.08,4.69,3.49,5.6
"2008-07-01",2.28,4.01,2.87,4.57,3.3,5.8
"2008-08-01",2.18,3.89,2.7,4.5,3.14,6.1
"2008-09-01",1.91,3.69,2.32,4.27,2.88,6.1
"2008-10-01",1.42,3.81,1.86,4.17,2.73,6.5
"2008-11-01",1.07,3.53,1.51,4,2.29,6.8
"2008-12-01",0.49,2.42,1.07,2.87,1.52,7.3
"2009-01-01",0.44,2.52,1.13,3.13,1.6,7.8
"2009-02-01",0.62,2.87,1.37,3.59,1.87,8.3
"2009-03-01",0.64,2.82,1.31,3.64,1.82,8.7
"2009-04-01",0.55,2.93,1.32,3.76,1.86,9
"2009-05-01",0.5,3.29,1.39,4.23,2.13,9.4
"2009-06-01",0.51,3.72,1.76,4.52,2.71,9.5
"2009-07-01",0.48,3.56,1.55,4.41,2.46,9.5
"2009-08-01",0.46,3.59,1.65,4.37,2.57,9.6
"2009-09-01",0.4,3.4,1.48,4.19,2.37,9.8
"2009-10-01",0.37,3.39,1.46,4.19,2.33,10
"2009-11-01",0.31,3.4,1.32,4.31,2.23,9.9
"2009-12-01",0.37,3.59,1.38,4.49,2.34,9.9
"2010-01-01",0.35,3.73,1.49,4.6,2.48,9.8
"2010-02-01",0.35,3.69,1.4,4.62,2.36,9.8
"2010-03-01",0.4,3.73,1.51,4.64,2.43,9.9
